Genetic Feature,Recurrent Gain Loss,Genes in Segment
AKAP9_mut,,AKAP9
AKT1_mut,,AKT1
ALK_mut,,ALK
AMOT_mut,,AMOT
ANK3_mut,,ANK3
APAF1_mut,,APAF1
APC_mut,,APC
AQR_mut,,AQR
ARAP3_mut,,ARAP3
ARFGAP3_mut,,ARFGAP3
ARFGEF1_mut,,ARFGEF1
ARFGEF2_mut,,ARFGEF2
ARHGAP26_mut,,ARHGAP26
ARHGAP29_mut,,ARHGAP29
ARHGEF6_mut,,ARHGEF6
ARID1A_mut,,ARID1A
ARID1B_mut,,ARID1B
ARID2_mut,,ARID2
ARID4A_mut,,ARID4A
ARID4B_mut,,ARID4B
ARID5B_mut,,ARID5B
ASH1L_mut,,ASH1L
ASPM_mut,,ASPM
ASXL1_mut,,ASXL1
ASXL2_mut,,ASXL2
ATM_mut,,ATM
ATR_mut,,ATR
ATRX_mut,,ATRX
AXIN1_mut,,AXIN1
AXIN2_mut,,AXIN2
B2M_mut,,B2M
BAP1_mut,,BAP1
BAZ2B_mut,,BAZ2B
BCLAF1_mut,,BCLAF1
BCOR_mut,,BCOR
BCR.ABL_mut,,BCR.ABL
BLM_mut,,BLM
BMPR2_mut,,BMPR2
BNC2_mut,,BNC2
BPTF_mut,,BPTF
BRAF_mut,,BRAF
BRCA1_mut,,BRCA1
BRCA2_mut,,BRCA2
BRWD1_mut,,BRWD1
C15orf55_mut,,C15orf55
CAD_mut,,CAD
CASP8_mut,,CASP8
CCAR1_mut,,CCAR1
CCND1_mut,,CCND1
cnaPANCAN1,gain,C19orf12
cnaPANCAN1,gain,CCNE1
cnaPANCAN1,gain,PLEKHF1
cnaPANCAN1,gain,POP4
cnaPANCAN1,gain,TSHZ3
cnaPANCAN1,gain,UQCRFS1
cnaPANCAN1,gain,URI1
cnaPANCAN1,gain,VSTM2B
cnaPANCAN1,gain,ZNF536
cnaPANCAN2,loss,ABCA7
cnaPANCAN2,loss,ABHD17A
cnaPANCAN2,loss,ADAMTSL5
cnaPANCAN2,loss,ADAT3
cnaPANCAN2,loss,AMH
cnaPANCAN2,loss,AP3D1
cnaPANCAN2,loss,APC2
cnaPANCAN2,loss,ARID3A
cnaPANCAN2,loss,ATP5D
cnaPANCAN2,loss,ATP8B3
cnaPANCAN2,loss,AZU1
cnaPANCAN2,loss,BSG
cnaPANCAN2,loss,BTBD2
cnaPANCAN2,loss,C19orf24
cnaPANCAN2,loss,C19orf25
cnaPANCAN2,loss,C19orf26
cnaPANCAN2,loss,C19orf35
cnaPANCAN2,loss,C2CD4C
cnaPANCAN2,loss,CDC34
cnaPANCAN2,loss,CFD
cnaPANCAN2,loss,CIRBP
cnaPANCAN2,loss,CNN2
cnaPANCAN2,loss,CSNK1G2
cnaPANCAN2,loss,DAZAP1
cnaPANCAN2,loss,DOT1L
cnaPANCAN2,loss,EFNA2
cnaPANCAN2,loss,ELANE
cnaPANCAN2,loss,FGF22
cnaPANCAN2,loss,FSTL3
cnaPANCAN2,loss,GAMT
cnaPANCAN2,loss,GPX4
cnaPANCAN2,loss,GRIN3B
cnaPANCAN2,loss,GZMM
cnaPANCAN2,loss,HCN2
cnaPANCAN2,loss,HMHA1
cnaPANCAN2,loss,IZUMO4
cnaPANCAN2,loss,JSRP1
cnaPANCAN2,loss,KISS1R
cnaPANCAN2,loss,KLF16
cnaPANCAN2,loss,LINGO3
cnaPANCAN2,loss,LMNB2
cnaPANCAN2,loss,LPPR3
cnaPANCAN2,loss,LSM7
cnaPANCAN2,loss,MADCAM1
cnaPANCAN2,loss,MBD3
cnaPANCAN2,loss,MED16
cnaPANCAN2,loss,MEX3D
cnaPANCAN2,loss,MIDN
cnaPANCAN2,loss,MIER2
cnaPANCAN2,loss,MISP
cnaPANCAN2,loss,MKNK2
cnaPANCAN2,loss,MOB3A
cnaPANCAN2,loss,MUM1
cnaPANCAN2,loss,NDUFS7
cnaPANCAN2,loss,OAZ1
cnaPANCAN2,loss,ODF3L2
cnaPANCAN2,loss,ONECUT3
cnaPANCAN2,loss,PALM
cnaPANCAN2,loss,PCSK4
cnaPANCAN2,loss,PLEKHJ1
cnaPANCAN2,loss,PLK5
cnaPANCAN2,loss,POLR2E
cnaPANCAN2,loss,POLRMT
cnaPANCAN2,loss,PPAP2C
cnaPANCAN2,loss,PRSS57
cnaPANCAN2,loss,PRTN3
cnaPANCAN2,loss,PTBP1
cnaPANCAN2,loss,R3HDM4
cnaPANCAN2,loss,REEP6
cnaPANCAN2,loss,REXO1
cnaPANCAN2,loss,RNF126
cnaPANCAN2,loss,RPS15
cnaPANCAN2,loss,SBNO2
cnaPANCAN2,loss,SCAMP4
cnaPANCAN2,loss,SF3A2
cnaPANCAN2,loss,SHC2
cnaPANCAN2,loss,STK11
cnaPANCAN2,loss,TCF3
cnaPANCAN2,loss,THEG
cnaPANCAN2,loss,TIMM13
cnaPANCAN2,loss,TMEM259
cnaPANCAN2,loss,TMPRSS9
cnaPANCAN2,loss,TPGS1
cnaPANCAN2,loss,UQCR11
cnaPANCAN2,loss,UQCR11
cnaPANCAN2,loss,WDR18
cnaPANCAN3,loss,GNA11
cnaPANCAN4,loss,EEF2
cnaPANCAN5,loss,KDM4B
cnaPANCAN6,loss,ACTL9
cnaPANCAN6,loss,ADAMTS10
cnaPANCAN6,loss,ANGPTL4
cnaPANCAN6,loss,ANGPTL6
cnaPANCAN6,loss,ARHGEF18
cnaPANCAN6,loss,C19orf45
cnaPANCAN6,loss,C19orf59
cnaPANCAN6,loss,C19orf66
cnaPANCAN6,loss,C19orf82
cnaPANCAN6,loss,CAMSAP3
cnaPANCAN6,loss,CCL25
cnaPANCAN6,loss,CD209
cnaPANCAN6,loss,CD320
cnaPANCAN6,loss,CERS4
cnaPANCAN6,loss,CLEC4G
cnaPANCAN6,loss,CLEC4M
cnaPANCAN6,loss,COL5A3
cnaPANCAN6,loss,CTB-133G6.1
cnaPANCAN6,loss,CTD-2207O23.10
cnaPANCAN6,loss,CTD-2207O23.12
cnaPANCAN6,loss,CTD-2207O23.3
cnaPANCAN6,loss,CTD-3193O13.9
cnaPANCAN6,loss,CTD-3214H19.16
cnaPANCAN6,loss,CTD-3214H19.4
cnaPANCAN6,loss,CTXN1
cnaPANCAN6,loss,EIF3G
cnaPANCAN6,loss,ELAVL1
cnaPANCAN6,loss,EVI5L
cnaPANCAN6,loss,FBN3
cnaPANCAN6,loss,FBXL12
cnaPANCAN6,loss,FCER2
cnaPANCAN6,loss,HNRNPM
cnaPANCAN6,loss,KANK3
cnaPANCAN6,loss,LRRC8E
cnaPANCAN6,loss,MAP2K7
cnaPANCAN6,loss,MARCH2
cnaPANCAN6,loss,MBD3L1
cnaPANCAN6,loss,MCOLN1
cnaPANCAN6,loss,MUC16
cnaPANCAN6,loss,MYO1F
cnaPANCAN6,loss,NDUFA7
cnaPANCAN6,loss,NDUFA7
cnaPANCAN6,loss,OLFM2
cnaPANCAN6,loss,OR1M1
cnaPANCAN6,loss,OR2Z1
cnaPANCAN6,loss,OR7D2
cnaPANCAN6,loss,OR7D4
cnaPANCAN6,loss,OR7E24
cnaPANCAN6,loss,OR7G1
cnaPANCAN6,loss,OR7G2
cnaPANCAN6,loss,OR7G3
cnaPANCAN6,loss,P2RY11
cnaPANCAN6,loss,PCP2
cnaPANCAN6,loss,PET100
cnaPANCAN6,loss,PEX11G
cnaPANCAN6,loss,PIN1
cnaPANCAN6,loss,PNPLA6
cnaPANCAN6,loss,PPAN
cnaPANCAN6,loss,PPAN-P2RY11
cnaPANCAN6,loss,PRAM1
cnaPANCAN6,loss,RAB11B
cnaPANCAN6,loss,RDH8
cnaPANCAN6,loss,RETN
cnaPANCAN6,loss,RPS28
cnaPANCAN6,loss,SNAPC2
cnaPANCAN6,loss,STXBP2
cnaPANCAN6,loss,TGFBR3L
cnaPANCAN6,loss,TIMM44
cnaPANCAN6,loss,TRAPPC5
cnaPANCAN6,loss,UBL5
cnaPANCAN6,loss,XAB2
cnaPANCAN6,loss,ZNF121
cnaPANCAN6,loss,ZNF177
cnaPANCAN6,loss,ZNF266
cnaPANCAN6,loss,ZNF317
cnaPANCAN6,loss,ZNF358
cnaPANCAN6,loss,ZNF414
cnaPANCAN6,loss,ZNF426
cnaPANCAN6,loss,ZNF558
cnaPANCAN6,loss,ZNF559
cnaPANCAN6,loss,ZNF559-ZNF177
cnaPANCAN6,loss,ZNF560
cnaPANCAN6,loss,ZNF561
cnaPANCAN6,loss,ZNF562
cnaPANCAN6,loss,ZNF699
cnaPANCAN6,loss,ZNF812
cnaPANCAN6,loss,ZNF846
cnaPANCAN7,loss,SMARCA4
cnaPANCAN8,loss,ZNF429
cnaPANCAN9,loss,ZNF100
cnaPANCAN10,loss,AC006486.9
cnaPANCAN10,loss,CEACAM1
cnaPANCAN10,loss,CEACAM8
cnaPANCAN10,loss,CIC
cnaPANCAN10,loss,CNFN
cnaPANCAN10,loss,CXCL17
cnaPANCAN10,loss,DEDD2
cnaPANCAN10,loss,ERF
cnaPANCAN10,loss,GSK3A
cnaPANCAN10,loss,LIPE
cnaPANCAN10,loss,MEGF8
cnaPANCAN10,loss,PAFAH1B3
cnaPANCAN10,loss,POU2F2
cnaPANCAN10,loss,PRR19
cnaPANCAN10,loss,TMEM145
cnaPANCAN10,loss,ZNF526
cnaPANCAN11,loss,IGFL4
cnaPANCAN12,loss,PPP5C
cnaPANCAN13,loss,CARD8
cnaPANCAN13,loss,ZNF114
cnaPANCAN14,loss,GRIN2D
cnaPANCAN14,loss,GRWD1
cnaPANCAN15,loss,KLK14
cnaPANCAN16,loss,PPP1R12C
cnaPANCAN17,loss,C19orf18
cnaPANCAN18,gain,ADCYAP1
cnaPANCAN18,gain,AFG3L2
cnaPANCAN18,gain,ANKRD12
cnaPANCAN18,gain,ANKRD62
cnaPANCAN18,gain,AP005482.1
cnaPANCAN18,gain,APCDD1
cnaPANCAN18,gain,ARHGAP28
cnaPANCAN18,gain,C18orf42
cnaPANCAN18,gain,C18orf56
cnaPANCAN18,gain,C18orf64
cnaPANCAN18,gain,CEP192
cnaPANCAN18,gain,CEP76
cnaPANCAN18,gain,CETN1
cnaPANCAN18,gain,CHMP1B
cnaPANCAN18,gain,CIDEA
cnaPANCAN18,gain,CLUL1
cnaPANCAN18,gain,COLEC12
cnaPANCAN18,gain,DLGAP1
cnaPANCAN18,gain,EMILIN2
cnaPANCAN18,gain,ENOSF1
cnaPANCAN18,gain,EPB41L3
cnaPANCAN18,gain,FAM210A
